Column,DataType,NonNullCount,NullCount,UniqueValues
st_masserr1,float64,27265,11235,1543
st_masserr2,float64,27110,11390,1502
st_masslim,float64,32688,5812,3
st_met,float64,24466,14034,1223
st_meterr1,float64,23792,14708,497
st_meterr2,float64,23792,14708,523
st_metlim,float64,26777,11723,3
st_metratio,object,24269,14231,3
st_lum,float64,9500,29000,3429
st_lumerr1,float64,4591,33909,1569
st_lumerr2,float64,4536,33964,1564
st_lumlim,float64,9500,29000,2
st_logg,float64,30023,8477,3898
st_loggerr1,float64,24733,13767,1622
st_loggerr2,float64,24732,13768,1746
st_logglim,float64,30023,8477,3
st_age,float64,9329,29171,691
st_ageerr1,float64,8897,29603,804
st_ageerr2,float64,8897,29603,649
st_agelim,float64,20706,17794,3
st_dens,float64,22146,16354,8651
st_denserr1,float64,17440,21060,6484
st_denserr2,float64,17440,21060,6466
st_denslim,float64,24459,14041,1
st_vsin,float64,3182,35318,536
st_vsinerr1,float64,2441,36059,146
st_vsinerr2,float64,2253,36247,144
st_vsinlim,float64,3182,35318,3
st_rotp,float64,979,37521,456
st_rotperr1,float64,825,37675,199
st_rotperr2,float64,825,37675,196
st_rotplim,float64,979,37521,3
st_radv,float64,1710,36790,907
st_radverr1,float64,1671,36829,237
st_radverr2,float64,1530,36970,233
st_radvlim,float64,1710,36790,2
sy_refname,object,38500,0,200
rastr,object,38500,0,4419
ra,float64,38500,0,4428
decstr,object,38500,0,4427
dec,float64,38500,0,4424
glat,float64,38500,0,4421
glon,float64,38500,0,4421
elat,float64,38500,0,4421
elon,float64,38500,0,4422
sy_pm,float64,37626,874,4148
sy_pmerr1,float64,37626,874,4120
sy_pmerr2,float64,37621,879,4117
sy_pmra,float64,37626,874,4144
sy_pmraerr1,float64,37626,874,4098
sy_pmraerr2,float64,37621,879,4096
sy_pmdec,float64,37626,874,4144
sy_pmdecerr1,float64,37626,874,4113
sy_pmdecerr2,float64,37621,879,4110
sy_dist,float64,37660,840,4403
sy_disterr1,float64,36809,1691,3866
sy_disterr2,float64,36809,1691,3909
sy_plx,float64,36155,2345,3998
sy_plxerr1,float64,36155,2345,3990
sy_plxerr2,float64,36155,2345,3990
sy_bmag,float64,37120,1380,3285
sy_bmagerr1,float64,37115,1385,433
sy_bmagerr2,float64,37115,1385,433
sy_vmag,float64,37752,748,3141
sy_vmagerr1,float64,37739,761,193
sy_vmagerr2,float64,37738,762,192
sy_jmag,float64,37714,786,3287
sy_jmagerr1,float64,37617,883,120
sy_jmagerr2,float64,37617,883,120
sy_hmag,float64,37743,757,3279
sy_hmagerr1,float64,37606,894,150
sy_hmagerr2,float64,37606,894,150
sy_kmag,float64,37740,760,3312
sy_kmagerr1,float64,37499,1001,164
sy_kmagerr2,float64,37499,1001,162
sy_umag,float64,3918,34582,531
sy_umagerr1,float64,3918,34582,532
sy_umagerr2,float64,3918,34582,532
sy_gmag,float64,3918,34582,533
sy_gmagerr1,float64,3918,34582,533
sy_gmagerr2,float64,3918,34582,533
sy_rmag,float64,3918,34582,530
sy_rmagerr1,float64,3918,34582,531
sy_rmagerr2,float64,3918,34582,531
sy_imag,float64,3918,34582,533
sy_imagerr1,float64,3918,34582,531
sy_imagerr2,float64,3918,34582,531
sy_zmag,float64,3918,34582,529
sy_zmagerr1,float64,3918,34582,531
sy_zmagerr2,float64,3918,34582,531
sy_w1mag,float64,35826,2674,3032
sy_w1magerr1,float64,35732,2768,237
sy_w1magerr2,float64,35732,2768,237
sy_w2mag,float64,35827,2673,3046
sy_w2magerr1,float64,35747,2753,155
sy_w2magerr2,float64,35747,2753,155
sy_w3mag,float64,35825,2675,2807
sy_w3magerr1,float64,26288,12212,503
sy_w3magerr2,float64,26288,12212,503
sy_w4mag,float64,35822,2678,1952
sy_w4magerr1,float64,5529,32971,411
sy_w4magerr2,float64,5529,32971,411
sy_gaiamag,float64,37451,1049,4026
sy_gaiamagerr1,float64,37451,1049,1111
sy_gaiamagerr2,float64,37451,1049,1111
sy_icmag,float64,45,38455,26
sy_icmagerr1,float64,40,38460,22
sy_icmagerr2,float64,40,38460,23
sy_tmag,float64,37753,747,4070
sy_tmagerr1,float64,37742,758,548
sy_tmagerr2,float64,37742,758,548
sy_kepmag,float64,30939,7561,1894
sy_kepmagerr1,float64,0,38500,0
sy_kepmagerr2,float64,0,38500,0
rowupdate,object,38499,1,497
pl_pubdate,object,38500,0,296
releasedate,object,38500,0,468
pl_nnotes,int64,38500,0,16
st_nphot,int64,38500,0,35
st_nrvc,int64,38500,0,13
st_nspec,int64,38500,0,12
pl_nespec,int64,38500,0,14
pl_ntranspec,int64,38500,0,19
pl_ndispec,int64,38500,0,6
